russian,rsl
Самомненье часто мешает человеку трезво оценивать себя, САМОМНЕНЬЕ ЧАСТО РАЗДРАЖАТЬ ЧЕЛОВЕК СУХО ПОНЯТЬ Я
Письмо отправил прямо сегодня утром, ПИСЬМО ДАТЬ СЕГОДНЯ УТРО
Холодный ветер заставлял птицу вилять хвостом, ХОЛОДНЫЙ ВОЗДУХ ДЕЛАТЬ ПТИЦА ВИЛЯТЬ 
Девятнадцатилетний парень уверенно сказал «нет», ДЕВЯТНАДЦАТЬ ГОД УВЕРЕННЫЙ СКАЗАТЬ ЕЩЕ НЕТ
Девушка встретила тигра на севере, ДЕВОЧКА ВСТРЕТИТЬ ТИГР СЕВЕР 
Шесть десятков человек пришло, ШЕСТЬДЕСЯТ ЧЕЛОВЕК ПРИЙТИ
Мы уверены что везде нужна поддержка друзей, МЫ УВЕРЕН ЧТО ВЕЗДЕ НЕОБХОДИМЫЙ ПОМОЧЬ ДРУГ
В доме постоянно уютно, ДОМ ПОСТОЯННЫЙ ЕСТЬ ПРИЯТНЫЙ 
Дешёвая одежда быстро портится, ДЕШЁВЫЙ ОДЕЖДА БЫСТРО ИСПОРЧЕННЫЙ 
Гордый мужчина предпочитал действовать, ГОРДЫЙ МУЖЧИНА ПРЕДПОЧИТАТЬ ДЕЛАТЬ 
Нам трудно ждать когда придёт назначенное время, НАМ НЕОБХОДИМЫЙ ЖДАТЬ КОГДА ЕСТЬ НАЗНАЧЕННОЕ ВРЕМЯ
Испуганная девочка съёжилась от страха, ИСПУГАННЫЙ ДЕВОЧКА ИСПЫТЫВАТЬ СТРАХ
Шести лет мальчик не умел ходить, ШЕСТЬ ГОД МАЛЬЧИК НЕ МОЧЬ ИДТИ 
Высокий жираф осторожно двигался, ВЫСОКИЙ ЖИРАФ ОСТОРОЖНЫЙ ИДТИ 
Неудачи огорчают человека и заставляют сомневаться, ОШИБКА ПЕЧАЛЬ ЧЕЛОВЕК И ДЕЛАТЬ СОМНЕНИЕ
Трудно жить рядом с жадным человеком, ТРУДНЫЙ ЖИТЬ БЛИЗКО ЖАДНЫЙ ЧЕЛОВЕК
Ожидающий пир гость радуется вкусу еды, ОЖИДАЮЩИЙ ПИР ЧЕЛОВЕК РАДОСТЬ ВКУС ЕДА
Молодые люди часто жалуются на мир, МОЛОДОЙ ЧЕЛОВЕК ЧАСТО ЖАЛОСТЬ МИР 
Просторный магазин предложил товар по низкой цене, СВОБОДНЫЙ МАГАЗИН ПРЕДЛОЖИТЬ ВЕЩЬ НИЗКИЙ ЦЕНА 
Одиннадцать килограммов хлеба – совсем немного, ОДИННАДЦАТЬ ХЛЕБ НЕМНОГО
