attachment_id	gloss	user_id	height	width	length	train	begin	end	number	aliceai-llm	command-a-reasoning-08-2025	DeepSeek-V3-0324	gemma-3-27b-it	GigaChat-2-Max	GigaChat-Plus	GigaChat-2-Pro	GigaChat-2	gpt-5.2	gpt-oss-120b	Llama-3.1-8B-Instruct	Llama-3.3-70B-Instruct	Olmo-3.1-32B-Instruct	qQwen3-32B	yandex-gpt-5lite	mbart-large-50	mT5-small	nllb-200-distilled-600M	opus-mt-ru-en
fd1c2d4e-70b1-406d-86d2-6ff904abb55e	аккуратный	0211b488644476dd0fec656ccb9b74fc	1920	1080	77.0	True	18	42	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
2590430a-cddf-460c-83dc-5a9b75f5a836	аккуратный	db573f94204e56e0cf3fc2ea000e5bdc	1280	720	88.0	True	5	44	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
507d6f3c-f2b9-4411-8b0d-e6c4ef168725	аккуратный	0211b488644476dd0fec656ccb9b74fc	1920	1080	74.0	True	21	44	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
f7693961-c80f-4e38-afc9-5c32ea34c479	аккуратный	db573f94204e56e0cf3fc2ea000e5bdc	1280	720	96.0	True	11	56	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
e44625da-e950-41aa-91b2-d3303576d7eb	аккуратный	185bd3a81d9d618518d10abebf0d17a8	1920	1080	98.0	True	19	44	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
e032b24b-a88d-4ee5-87ff-e6cc81e02350	аккуратный	46dd04a1caa75ed3082b573cb5a3ad26	1920	822	98.0	True	10	33	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
f3164ad2-a0fb-4370-816a-016fbe9c1bfa	аккуратный	e2a4b39d2c32a290f039aaf98c62eb27	1080	1920	156.0	False	17	59	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
92bcf78d-59f5-41e1-a43d-54cea8e117dc	аккуратный	58cdde57ef4f02087d51c5ee616b412e	1920	1080	120.0	False	29	71	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
7d600bea-de99-41de-86d6-22688efdc11c	аккуратный	b07a773bcb10b4f14f33d2b0e8ec58ba	720	1280	105.0	True	40	71	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
388017ed-bc9a-4c64-9c8c-036754056b12	аккуратный	8e9000e00d96e04ae2be3a81390e42ce	1080	1920	59.0	False	0	28	0	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	ХОРОШО	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЙ	АККУРАТНЫЕ	АККУРАТНЫЕ	АККУРАТНЫЕ
